Date,Open,High,Low,Close
1/1/2016 0:00,430.05,436.11,427.32,434.46
1/2/2016 0:00,434.46,436.19,431.57,433.59
1/3/2016 0:00,433.59,433.95,424.15,430.36
1/4/2016 0:00,430.36,435.15,429.42,433.49
1/5/2016 0:00,433.49,434.7,429.09,432.25
1/6/2016 0:00,432.25,432.25,426.17,429.46
1/7/2016 0:00,429.46,460.09,429.06,458.28
1/8/2016 0:00,458.28,463.95,447.39,453.37
1/9/2016 0:00,453.37,455.11,447.3,449.14
1/10/2016 0:00,449.14,449.84,441.19,448.96
1/11/2016 0:00,448.96,451.44,443.26,448.38
1/12/2016 0:00,448.38,448.4,432.53,432.88
1/13/2016 0:00,432.88,435.66,422.1,432.04
1/14/2016 0:00,432.04,433.67,427.03,429.73
1/15/2016 0:00,429.73,429.81,358.77,358.77
1/16/2016 0:00,358.77,390.8,353.28,387.66
1/17/2016 0:00,387.66,390.59,378.26,380.21
1/18/2016 0:00,380.21,387.48,374.48,385.84
1/19/2016 0:00,385.84,386.64,376.72,377.74
1/20/2016 0:00,377.74,424.65,374.22,418.74
1/21/2016 0:00,418.74,422.66,405.44,409.94
1/22/2016 0:00,409.94,410.46,374.14,381.76
1/23/2016 0:00,381.76,394.5,381.19,386.19
1/24/2016 0:00,386.19,405.8,386.15,402.61
1/25/2016 0:00,402.61,402.64,386.52,390.66
1/26/2016 0:00,390.66,397.57,388.03,391.43
1/27/2016 0:00,391.43,396.57,390.49,394.63
1/28/2016 0:00,394.63,394.99,377.09,379.38
1/29/2016 0:00,379.38,384.49,363.64,378.2
1/30/2016 0:00,378.2,380.7,375.43,376.94
1/31/2016 0:00,376.94,379.53,364.29,367.13
2/1/2016 0:00,367.13,378.52,365.95,371.25
2/2/2016 0:00,371.25,374.83,371.1,372.88
2/3/2016 0:00,372.88,373.79,366.32,368.93
2/4/2016 0:00,368.93,391.27,368.74,388.61
2/5/2016 0:00,388.61,390.19,384.24,385.34
2/6/2016 0:00,385.34,385.34,370.6,375.4
2/7/2016 0:00,375.4,379.56,372.88,375.28
2/8/2016 0:00,375.28,378.69,370.77,371.1
2/9/2016 0:00,371.1,376.29,370.91,373.32
2/10/2016 0:00,373.32,383.56,372.93,379.96
2/11/2016 0:00,379.96,381.2,373.22,377.72
2/12/2016 0:00,377.72,383.54,377.31,383.13
2/13/2016 0:00,383.13,392.34,383.05,392.18
2/14/2016 0:00,392.18,407.17,392.18,406.74
2/15/2016 0:00,406.74,410.24,395.48,399.48
2/16/2016 0:00,399.48,408.12,399.3,407.36
2/17/2016 0:00,407.36,421.02,405.87,415.56
2/18/2016 0:00,415.56,424.98,415.01,421.64
2/19/2016 0:00,421.64,422.43,415.68,420.33
2/20/2016 0:00,420.33,443.18,420.27,436.52
2/21/2016 0:00,436.52,448.29,427,438.98
2/22/2016 0:00,438.98,439.66,432.65,438.07
2/23/2016 0:00,438.07,440.7,415.61,419.98
2/24/2016 0:00,419.98,424.84,411.12,424.36
2/25/2016 0:00,424.36,427.03,418.19,423.52
2/26/2016 0:00,423.52,432.06,419.53,432.06
2/27/2016 0:00,432.06,434.77,429.85,432.14
2/28/2016 0:00,432.14,435.35,422.07,432.64
2/29/2016 0:00,432.64,441.65,430.08,436.61
3/1/2016 0:00,436.61,438.54,428.5,433.64
3/2/2016 0:00,433.64,434.91,420.77,421.6
3/3/2016 0:00,421.6,423.52,415.64,419.47
3/4/2016 0:00,419.47,422.57,407.55,407.98
3/5/2016 0:00,407.98,408.95,388.96,397.83
3/6/2016 0:00,397.83,409.72,391.78,404.55
3/7/2016 0:00,404.55,415.06,402.41,412.98
3/8/2016 0:00,412.98,415.51,408.48,411.76
3/9/2016 0:00,411.76,413.78,408.8,412.62
3/10/2016 0:00,412.62,416.44,410.87,416.16
3/11/2016 0:00,416.16,421.93,415.62,419.89
3/12/2016 0:00,419.89,420.82,407.3,410.13
3/13/2016 0:00,410.13,416.02,410.09,412.29
3/14/2016 0:00,412.29,415.41,412.04,415.09
3/15/2016 0:00,415.09,417.12,412.6,415.38
3/16/2016 0:00,415.38,416.6,413.8,416.25
3/17/2016 0:00,416.25,419.51,416.13,418.45
3/18/2016 0:00,418.45,418.45,403.62,408.04
3/19/2016 0:00,408.04,409.33,403.34,408.52
3/20/2016 0:00,408.52,412.43,408.09,410.75
3/21/2016 0:00,410.75,411.58,406.93,411.42
3/22/2016 0:00,411.42,417.15,410.65,416.93
3/23/2016 0:00,416.93,418.55,415.66,417.39
3/24/2016 0:00,417.39,417.44,413.49,414.34
3/25/2016 0:00,414.34,416.43,412.84,415.69
3/26/2016 0:00,415.69,417.32,414.84,416.73
3/27/2016 0:00,416.73,427,416.04,425.38
3/28/2016 0:00,425.38,425.38,421.45,422.76
3/29/2016 0:00,422.76,424.46,407.88,415.55
3/30/2016 0:00,415.55,415.61,409.19,412.69
3/31/2016 0:00,412.69,416.94,412.69,415.16
4/1/2016 0:00,415.16,417.01,414.09,417.01
4/2/2016 0:00,417.01,420.89,416.82,419.69
4/3/2016 0:00,419.69,419.83,417.2,419.38
4/4/2016 0:00,419.38,419.78,417.41,419.42
4/5/2016 0:00,419.42,423.24,418.87,422.65
4/6/2016 0:00,422.65,422.98,421.13,421.7
4/7/2016 0:00,421.7,422.01,418.75,421.2
4/8/2016 0:00,421.2,423.56,416.08,418.09
4/9/2016 0:00,418.09,418.44,413.16,418.42
4/10/2016 0:00,418.42,421.87,417.79,421.11
4/11/2016 0:00,421.11,422.99,419.38,422.99
4/12/2016 0:00,422.99,427.79,422.69,425.99
4/13/2016 0:00,425.99,427.1,422.92,424.4
4/14/2016 0:00,424.4,425.79,423.1,425.11
4/15/2016 0:00,425.11,429.99,424.71,429.98
4/16/2016 0:00,429.98,433,429.36,430.84
4/17/2016 0:00,430.84,431.68,426.27,427.86
4/18/2016 0:00,427.86,430.08,427.17,429.05
4/19/2016 0:00,429.05,437.11,428.08,436.1
4/20/2016 0:00,436.1,444.04,434.75,442.16
4/21/2016 0:00,442.16,452.8,441.3,451.1
4/22/2016 0:00,451.1,451.73,443.91,447.64
4/23/2016 0:00,447.64,452.79,445.71,452.58
4/24/2016 0:00,452.58,460.97,450.29,460.33
4/25/2016 0:00,460.33,469.28,455.96,462.51
4/26/2016 0:00,462.51,470.16,462.44,467.8
4/27/2016 0:00,467.8,468.82,443.7,445.01
4/28/2016 0:00,445.01,450.09,435.28,449.86
4/29/2016 0:00,449.86,456.84,446.13,456.35
4/30/2016 0:00,456.35,456.89,447.84,449.33
5/1/2016 0:00,449.33,453.5,448.34,453.04
5/2/2016 0:00,453.04,453.43,439.89,444.51
5/3/2016 0:00,444.51,451.44,441.99,450.27
5/4/2016 0:00,450.27,450.71,445.44,446.96
5/5/2016 0:00,446.96,449.47,445.83,448.53
5/6/2016 0:00,448.53,462.76,447.35,460.37
5/7/2016 0:00,460.37,461.73,457.96,459.46
5/8/2016 0:00,459.46,460.48,456.15,459.44
5/9/2016 0:00,459.44,464.21,457.14,461.49
5/10/2016 0:00,461.49,463.04,447.76,450.99
5/11/2016 0:00,450.99,454.94,450.84,452.11
5/12/2016 0:00,452.11,454.96,447.73,454.82
5/13/2016 0:00,454.82,456.49,452.39,455.73
5/14/2016 0:00,455.73,457.04,453.83,455.75
5/15/2016 0:00,455.75,458.87,454.91,457.85
5/16/2016 0:00,457.85,458.41,451.33,453.41
5/17/2016 0:00,453.41,454.81,452.3,452.75
5/18/2016 0:00,452.75,455.73,452.32,453.38
5/19/2016 0:00,453.38,454.08,436.28,436.73
5/20/2016 0:00,436.73,444.07,435.62,442.95
5/21/2016 0:00,442.95,443.71,439.29,443.13
5/22/2016 0:00,443.13,443.2,437.71,438.77
5/23/2016 0:00,438.77,444.09,437.38,443.73
5/24/2016 0:00,443.73,446.47,443.25,445.13
5/25/2016 0:00,445.13,449.98,445.13,449.23
5/26/2016 0:00,449.23,453.91,447.38,453.82
5/27/2016 0:00,453.82,479.39,453.82,473.47
5/28/2016 0:00,473.47,531.7,472.19,525.43
5/29/2016 0:00,525.43,545.76,508.12,524.08
5/30/2016 0:00,524.08,541.78,520.07,532.59
5/31/2016 0:00,532.59,546.85,519.93,531.8
6/1/2016 0:00,531.8,543.63,525.64,536.42
6/2/2016 0:00,536.42,541.06,532.69,538.14
6/3/2016 0:00,538.14,576.78,536.71,570.47
6/4/2016 0:00,570.47,591.03,563.15,573.45
6/5/2016 0:00,573.45,583.31,568.33,574.11
6/6/2016 0:00,574.11,586.63,574.1,585.53
6/7/2016 0:00,585.53,590.98,565.16,577.86
6/8/2016 0:00,577.86,583.99,573.44,583.1
6/9/2016 0:00,583.1,583.24,572.04,576.45
6/10/2016 0:00,576.45,579.9,573.67,579.13
6/11/2016 0:00,579.13,611.78,578.73,611.78
6/12/2016 0:00,611.78,685.27,607.66,675.34
6/13/2016 0:00,675.34,719.85,663.37,705.62
6/14/2016 0:00,705.62,705.67,661.6,685.99
6/15/2016 0:00,685.99,697.09,673.25,696.32
6/16/2016 0:00,696.32,774.35,696.32,768.24
6/17/2016 0:00,768.24,776.64,709.69,747.55
6/18/2016 0:00,747.55,781.31,727.75,755.68
6/19/2016 0:00,755.68,765.93,742.57,764.04
6/20/2016 0:00,764.04,764.04,726.09,727.95
6/21/2016 0:00,727.95,728.06,631.72,665.88
6/22/2016 0:00,665.88,678.22,587.73,602.89
6/23/2016 0:00,602.89,633.85,551.92,625.49
6/24/2016 0:00,625.49,680.19,624.94,665.16
6/25/2016 0:00,665.16,692.54,644.87,665.33
6/26/2016 0:00,665.33,666.7,615.77,630.25
6/27/2016 0:00,630.25,658.4,620.08,658.4
6/28/2016 0:00,658.4,661.35,636.7,646.3
6/29/2016 0:00,646.3,646.3,624.77,639.08
6/30/2016 0:00,639.08,674.02,634.3,672.48
7/1/2016 0:00,672.48,684.8,667.54,676.52
7/2/2016 0:00,676.52,703.69,675.49,703.69
7/3/2016 0:00,703.69,704.42,648.05,659.69
7/4/2016 0:00,659.69,682.29,646.74,681.63
7/5/2016 0:00,681.63,682.39,662.22,668.09
7/6/2016 0:00,668.09,680.23,666.93,676.11
7/7/2016 0:00,676.11,679.92,611.26,639.76
7/8/2016 0:00,639.76,665.75,636.28,664.74
7/9/2016 0:00,664.74,664.74,626.87,650.63
7/10/2016 0:00,650.63,651.84,639.62,649.96
7/11/2016 0:00,649.96,660.44,644.75,649.03
7/12/2016 0:00,649.03,675.07,646.54,664.84
7/13/2016 0:00,664.84,668.76,653.43,653.93
7/14/2016 0:00,653.93,663.65,651.49,659.64
7/15/2016 0:00,659.64,668.23,658.43,664.88
7/16/2016 0:00,664.88,667.36,658.25,663.54
7/17/2016 0:00,663.54,680.65,663.37,679.05
7/18/2016 0:00,679.05,682.19,667.44,673.59
7/19/2016 0:00,673.59,674.84,667.43,673.84
7/20/2016 0:00,673.84,674.39,662.61,666.18
7/21/2016 0:00,666.18,667.15,659.69,665.1
7/22/2016 0:00,665.1,667.2,645.15,650.82
7/23/2016 0:00,650.82,656.44,648.76,654.86
7/24/2016 0:00,654.86,663.92,652.33,661.05
7/25/2016 0:00,661.05,662.15,653.13,655.13
7/26/2016 0:00,655.13,656.73,644.65,651.08
7/27/2016 0:00,651.08,659.51,647.92,655.44
7/28/2016 0:00,655.44,658.63,654.16,655.63
7/29/2016 0:00,655.63,658.07,654.38,656.67
7/30/2016 0:00,656.67,658.28,653.51,654.98
7/31/2016 0:00,654.98,655.07,623.48,625.88
